#Time: 0.00Ma	 	#Time: 0.00Ma	#Time: 0.00Ma
> x(Km)	-w(m)	h(m)	# -w(m)	h(m)	# -w(m)	h(m)
 0.00	 -0.00	 0.0	 -0.00	 0.0	 -5152.53	 -5152.5
 0.20	 -0.00	 0.0	 -0.00	 0.0	 -5117.82	 -5117.8
 0.40	 -0.00	 0.0	 -0.00	 0.0	 -5083.11	 -5083.1
 0.60	 -0.00	 0.0	 -0.00	 0.0	 -5048.40	 -5048.4
 0.80	 -0.00	 0.0	 -0.00	 0.0	 -5013.70	 -5013.7
 1.00	 -0.00	 0.0	 -0.00	 0.0	 -4979.00	 -4979.0
 1.20	 -0.00	 0.0	 -0.00	 0.0	 -4944.32	 -4944.3
 1.40	 -0.00	 0.0	 -0.00	 0.0	 -4909.65	 -4909.6
 1.60	 -0.00	 0.0	 -0.00	 0.0	 -4874.99	 -4875.0
 1.80	 -0.00	 0.0	 -0.00	 0.0	 -4840.36	 -4840.4
 2.00	 -0.00	 0.0	 -0.00	 0.0	 -4805.75	 -4805.8
 2.20	 -0.00	 0.0	 -0.00	 0.0	 -4771.16	 -4771.2
 2.40	 -0.00	 0.0	 -0.00	 0.0	 -4736.61	 -4736.6
 2.60	 -0.00	 0.0	 -0.00	 0.0	 -4702.08	 -4702.1
 2.80	 -0.00	 0.0	 -0.00	 0.0	 -4667.59	 -4667.6
 3.00	 -0.00	 0.0	 -0.00	 0.0	 -4633.14	 -4633.1
 3.20	 -0.00	 0.0	 -0.00	 0.0	 -4598.72	 -4598.7
 3.40	 -0.00	 0.0	 -0.00	 0.0	 -4564.35	 -4564.3
 3.60	 -0.00	 0.0	 -0.00	 0.0	 -4530.02	 -4530.0
 3.80	 -0.00	 0.0	 -0.00	 0.0	 -4495.74	 -4495.7
 4.00	 -0.00	 0.0	 -0.00	 0.0	 -4461.51	 -4461.5
 4.20	 -0.00	 0.0	 -0.00	 0.0	 -4427.33	 -4427.3
 4.40	 -0.00	 0.0	 -0.00	 0.0	 -4393.20	 -4393.2
 4.60	 -0.00	 0.0	 -0.00	 0.0	 -4359.14	 -4359.1
 4.80	 -0.00	 0.0	 -0.00	 0.0	 -4325.13	 -4325.1
 5.00	 -0.00	 0.0	 -0.00	 0.0	 -4291.19	 -4291.2
 5.20	 -0.00	 0.0	 -0.00	 0.0	 -4257.30	 -4257.3
 5.40	 -0.00	 0.0	 -0.00	 0.0	 -4223.49	 -4223.5
 5.60	 -0.00	 0.0	 -0.00	 0.0	 -4189.75	 -4189.7
 5.80	 -0.00	 0.0	 -0.00	 0.0	 -4156.07	 -4156.1
 6.00	 -0.00	 0.0	 -0.00	 0.0	 -4122.47	 -4122.5
 6.20	 -0.00	 0.0	 -0.00	 0.0	 -4088.94	 -4088.9
 6.40	 -0.00	 0.0	 -0.00	 0.0	 -4055.49	 -4055.5
 6.60	 -0.00	 0.0	 -0.00	 0.0	 -4022.12	 -4022.1
 6.80	 -0.00	 0.0	 -0.00	 0.0	 -3988.84	 -3988.8
 7.00	 -0.00	 0.0	 -0.00	 0.0	 -3955.63	 -3955.6
 7.20	 -0.00	 0.0	 -0.00	 0.0	 -3922.51	 -3922.5
 7.40	 -0.00	 0.0	 -0.00	 0.0	 -3889.48	 -3889.5
 7.60	 -0.00	 0.0	 -0.00	 0.0	 -3856.53	 -3856.5
 7.80	 -0.00	 0.0	 -0.00	 0.0	 -3823.68	 -3823.7
 8.00	 -0.00	 0.0	 -0.00	 0.0	 -3790.92	 -3790.9
 8.20	 -0.00	 0.0	 -0.00	 0.0	 -3758.25	 -3758.2
 8.40	 -0.00	 0.0	 -0.00	 0.0	 -3725.68	 -3725.7
 8.60	 -0.00	 0.0	 -0.00	 0.0	 -3693.20	 -3693.2
 8.80	 -0.00	 0.0	 -0.00	 0.0	 -3660.83	 -3660.8
 9.00	 -0.00	 0.0	 -0.00	 0.0	 -3628.55	 -3628.6
 9.20	 -0.00	 0.0	 -0.00	 0.0	 -3596.38	 -3596.4
 9.40	 -0.00	 0.0	 -0.00	 0.0	 -3564.31	 -3564.3
 9.60	 -0.00	 0.0	 -0.00	 0.0	 -3532.35	 -3532.4
 9.80	 -0.00	 0.0	 -0.00	 0.0	 -3500.50	 -3500.5
 10.00	 -0.00	 0.0	 -0.00	 0.0	 -3468.75	 -3468.8
 10.20	 -0.00	 0.0	 -0.00	 0.0	 -3437.12	 -3437.1
 10.40	 -0.00	 0.0	 -0.00	 0.0	 -3405.59	 -3405.6
 10.60	 -0.00	 0.0	 -0.00	 0.0	 -3374.18	 -3374.2
 10.80	 -0.00	 0.0	 -0.00	 0.0	 -3342.89	 -3342.9
 11.00	 -0.00	 0.0	 -0.00	 0.0	 -3311.71	 -3311.7
 11.20	 -0.00	 0.0	 -0.00	 0.0	 -3280.64	 -3280.6
 11.40	 -0.00	 0.0	 -0.00	 0.0	 -3249.70	 -3249.7
 11.60	 -0.00	 0.0	 -0.00	 0.0	 -3218.87	 -3218.9
 11.80	 -0.00	 0.0	 -0.00	 0.0	 -3188.16	 -3188.2
