#Time: 0.00Ma	 	#Time: 0.00Ma
> x(Km)	-w(m)	h(m)	# -w(m)	h(m)
 0.00	 -0.00	 0.0	 0.52	 0.5
 2.00	 -0.00	 0.0	 0.42	 0.4
 4.00	 -0.00	 0.0	 0.32	 0.3
 6.00	 -0.00	 0.0	 0.22	 0.2
 8.00	 -0.00	 0.0	 0.12	 0.1
 10.00	 -0.00	 0.0	 0.02	 0.0
 12.00	 -0.00	 0.0	 -0.08	 -0.0
 14.00	 -0.00	 0.0	 -0.18	 -0.2
 16.00	 -0.00	 0.0	 -0.28	 -0.3
 18.00	 -0.00	 0.0	 -0.38	 -0.4
 20.00	 -0.00	 0.0	 -0.48	 -0.5
 22.00	 -0.00	 0.0	 -0.58	 -0.6
 24.00	 -0.00	 0.0	 -0.69	 -0.7
 26.00	 -0.00	 0.0	 -0.79	 -0.8
 28.00	 -0.00	 0.0	 -0.89	 -0.9
 30.00	 -0.00	 0.0	 -0.99	 -1.0
 32.00	 -0.00	 0.0	 -1.09	 -1.1
 34.00	 -0.00	 0.0	 -1.19	 -1.2
 36.00	 -0.00	 0.0	 -1.29	 -1.3
 38.00	 -0.00	 0.0	 -1.39	 -1.4
 40.00	 -0.00	 0.0	 -1.48	 -1.5
 42.00	 -0.00	 0.0	 -1.57	 -1.6
 44.00	 -0.00	 0.0	 -1.66	 -1.7
 46.00	 -0.00	 0.0	 -1.74	 -1.7
 48.00	 -0.00	 0.0	 -1.81	 -1.8
 50.00	 -0.00	 0.0	 -1.87	 -1.9
 52.00	 -0.00	 0.0	 -1.93	 -1.9
 54.00	 -0.00	 0.0	 -1.97	 -2.0
 56.00	 -0.00	 0.0	 -2.01	 -2.0
 58.00	 -0.00	 0.0	 -2.02	 -2.0
 60.00	 -0.00	 0.0	 -2.02	 -2.0
 62.00	 -0.00	 0.0	 -2.00	 -2.0
 64.00	 -0.00	 0.0	 -1.96	 -2.0
 66.00	 -0.00	 0.0	 -1.89	 -1.9
 68.00	 -0.00	 0.0	 -1.80	 -1.8
 70.00	 -0.00	 0.0	 -1.68	 -1.7
 72.00	 -0.00	 0.0	 -1.52	 -1.5
 74.00	 -0.00	 0.0	 -1.32	 -1.3
 76.00	 -0.00	 0.0	 -1.09	 -1.1
 78.00	 -0.00	 0.0	 -0.81	 -0.8
 80.00	 -0.00	 0.0	 -0.49	 -0.5
 82.00	 -0.00	 0.0	 -0.11	 -0.1
 84.00	 -0.00	 0.0	 0.32	 0.3
