#Time: 0.00Ma	 	#Time: 0.00Ma
> x(Km)	-w(m)	h(m)	# -w(m)	h(m)
 0.00	 -0.00	 0.0	 0.02	 0.0
 10.00	 -0.00	 0.0	 -0.00	 0.0
 20.00	 -0.00	 0.0	 0.02	 0.0
 30.00	 -0.00	 0.0	 0.04	 0.0
 40.00	 -0.00	 0.0	 0.03	 0.0
 50.00	 -0.00	 0.0	 -0.02	 -0.0
 60.00	 -0.00	 0.0	 -0.14	 -0.1
 70.00	 -0.00	 0.0	 -0.36	 -0.4
 80.00	 -0.00	 0.0	 -0.70	 -0.7
 90.00	 -0.00	 0.0	 -1.18	 -1.2
 100.00	 -0.00	 0.0	 -1.80	 -1.8
 110.00	 -0.00	 0.0	 -2.56	 -2.6
 120.00	 -0.00	 0.0	 -3.45	 -3.5
 130.00	 -0.00	 0.0	 -4.44	 -4.4
 140.00	 -0.00	 0.0	 -5.45	 -5.5
 150.00	 -0.00	 0.0	 -6.41	 -6.4
 160.00	 -0.00	 0.0	 -7.19	 -7.2
 170.00	 -0.00	 0.0	 -7.62	 -7.6
 180.00	 -0.00	 0.0	 -7.51	 -7.5
 190.00	 -0.00	 0.0	 -6.62	 -6.6
 200.00	 -0.00	 0.0	 -4.68	 -4.7
 210.00	 -0.00	 0.0	 -1.38	 -1.4
 220.00	 -0.00	 0.0	 3.57	 3.6
 230.00	 -0.00	 0.0	 10.44	 10.4
 240.00	 -0.00	 0.0	 19.45	 19.4
 250.00	 -0.00	 0.0	 30.69	 30.7
 260.00	 -0.00	 0.0	 44.10	 44.1
 270.00	 -0.00	 0.0	 59.37	 59.4
 280.00	 -0.00	 0.0	 75.85	 75.8
 290.00	 -0.00	 0.0	 92.50	 92.5
 300.00	 -0.00	 0.0	 107.77	 107.8
 310.00	 -0.00	 0.0	 119.55	 119.6
 320.00	 -0.00	 0.0	 125.09	 125.1
 330.00	 -0.00	 0.0	 120.99	 121.0
 340.00	 -0.00	 0.0	 103.22	 103.2
 350.00	 -0.00	 0.0	 67.25	 67.2
 360.00	 -0.00	 0.0	 8.24	 8.2
 370.00	 -0.00	 0.0	 -78.61	 -78.6
 380.00	 -0.00	 0.0	 -197.63	 -197.6
 390.00	 -0.00	 0.0	 -351.95	 -352.0
 400.00	 -0.00	 0.0	 -542.74	 -542.7
 410.00	 -0.00	 400.0	 -768.12	 -368.1
 420.00	 -0.00	 800.0	 -1022.02	 -222.0
 430.00	 -0.00	 1200.0	 -1295.05	 -95.0
 440.00	 -0.00	 1600.0	 -1575.38	 24.6
 450.00	 -0.00	 2000.0	 -1849.47	 150.5
 460.00	 -0.00	 2400.0	 -2102.81	 297.2
 470.00	 -0.00	 2800.0	 -2320.69	 479.3
 480.00	 -0.00	 3200.0	 -2489.17	 710.8
 490.00	 -0.00	 3600.0	 -2596.21	 1003.8
 500.00	 -0.00	 4000.0	 -2633.09	 1366.9
 510.00	 -0.00	 3600.0	 -2596.21	 1003.8
 520.00	 -0.00	 3200.0	 -2489.17	 710.8
 530.00	 -0.00	 2800.0	 -2320.69	 479.3
 540.00	 -0.00	 2400.0	 -2102.81	 297.2
 550.00	 -0.00	 2000.0	 -1849.47	 150.5
 560.00	 -0.00	 1600.0	 -1575.38	 24.6
 570.00	 -0.00	 1200.0	 -1295.05	 -95.0
 580.00	 -0.00	 800.0	 -1022.02	 -222.0
 590.00	 -0.00	 400.0	 -768.12	 -368.1
 600.00	 -0.00	 0.0	 -542.74	 -542.7
 610.00	 -0.00	 0.0	 -351.95	 -352.0
 620.00	 -0.00	 0.0	 -197.63	 -197.6
 630.00	 -0.00	 0.0	 -78.61	 -78.6
 640.00	 -0.00	 0.0	 8.24	 8.2
 650.00	 -0.00	 0.0	 67.25	 67.2
 660.00	 -0.00	 0.0	 103.22	 103.2
 670.00	 -0.00	 0.0	 120.99	 121.0
 680.00	 -0.00	 0.0	 125.09	 125.1
 690.00	 -0.00	 0.0	 119.55	 119.6
 700.00	 -0.00	 0.0	 107.77	 107.8
 710.00	 -0.00	 0.0	 92.50	 92.5
 720.00	 -0.00	 0.0	 75.85	 75.8
 730.00	 -0.00	 0.0	 59.37	 59.4
 740.00	 -0.00	 0.0	 44.10	 44.1
 750.00	 -0.00	 0.0	 30.69	 30.7
 760.00	 -0.00	 0.0	 19.45	 19.4
 770.00	 -0.00	 0.0	 10.44	 10.4
 780.00	 -0.00	 0.0	 3.57	 3.6
 790.00	 -0.00	 0.0	 -1.38	 -1.4
 800.00	 -0.00	 0.0	 -4.68	 -4.7
 810.00	 -0.00	 0.0	 -6.62	 -6.6
 820.00	 -0.00	 0.0	 -7.51	 -7.5
 830.00	 -0.00	 0.0	 -7.62	 -7.6
 840.00	 -0.00	 0.0	 -7.19	 -7.2
 850.00	 -0.00	 0.0	 -6.41	 -6.4
 860.00	 -0.00	 0.0	 -5.45	 -5.5
 870.00	 -0.00	 0.0	 -4.44	 -4.4
 880.00	 -0.00	 0.0	 -3.45	 -3.5
 890.00	 -0.00	 0.0	 -2.56	 -2.6
 900.00	 -0.00	 0.0	 -1.80	 -1.8
 910.00	 -0.00	 0.0	 -1.18	 -1.2
 920.00	 -0.00	 0.0	 -0.70	 -0.7
 930.00	 -0.00	 0.0	 -0.36	 -0.4
 940.00	 -0.00	 0.0	 -0.14	 -0.1
 950.00	 -0.00	 0.0	 -0.02	 -0.0
 960.00	 -0.00	 0.0	 0.03	 0.0
 970.00	 -0.00	 0.0	 0.04	 0.0
 980.00	 -0.00	 0.0	 0.02	 0.0
 990.00	 -0.00	 0.0	 0.00	 0.0
 1000.00	 -0.00	 0.0	 0.02	 0.0
