#Time: 0.00Ma	 	#Time: 0.00Ma	#Time: 30.00Ma
> x(Km)	-w(m)	h(m)	# -w(m)	h(m)	# -w(m)	h(m)
 0.00	 -0.00	 0.0	 419.62	 0.0	 419.62	 0.0
 2.00	 -0.00	 0.0	 413.67	 0.0	 413.67	 0.0
 4.00	 -0.00	 0.0	 407.73	 0.0	 407.73	 0.0
 6.00	 -0.00	 0.0	 401.79	 0.0	 401.79	 0.0
 8.00	 -0.00	 0.0	 395.84	 0.0	 395.84	 0.0
 10.00	 -0.00	 0.0	 389.90	 0.0	 389.90	 0.0
 12.00	 -0.00	 0.0	 383.95	 0.0	 383.95	 0.0
 14.00	 -0.00	 0.0	 378.00	 0.0	 378.00	 0.0
 16.00	 -0.00	 0.0	 372.04	 0.0	 372.04	 0.0
 18.00	 -0.00	 0.0	 366.07	 0.0	 366.07	 0.0
 20.00	 -0.00	 0.0	 360.08	 0.0	 360.08	 0.0
 22.00	 -0.00	 0.0	 354.08	 0.0	 354.08	 0.0
 24.00	 -0.00	 0.0	 348.06	 0.0	 348.06	 0.0
 26.00	 -0.00	 0.0	 342.00	 0.0	 342.00	 0.0
 28.00	 -0.00	 0.0	 335.92	 0.0	 335.92	 0.0
 30.00	 -0.00	 0.0	 329.80	 0.0	 329.80	 0.0
 32.00	 -0.00	 0.0	 323.63	 0.0	 323.63	 0.0
 34.00	 -0.00	 0.0	 317.41	 0.0	 317.41	 0.0
 36.00	 -0.00	 0.0	 311.14	 0.0	 311.14	 0.0
 38.00	 -0.00	 0.0	 304.80	 0.0	 304.80	 0.0
 40.00	 -0.00	 0.0	 298.39	 0.0	 298.39	 0.0
 42.00	 -0.00	 0.0	 291.90	 0.0	 291.90	 0.0
 44.00	 -0.00	 0.0	 285.32	 0.0	 285.32	 0.0
 46.00	 -0.00	 0.0	 278.64	 0.0	 278.64	 0.0
 48.00	 -0.00	 0.0	 271.85	 0.0	 271.85	 0.0
 50.00	 -0.00	 0.0	 264.95	 0.0	 264.95	 0.0
 52.00	 -0.00	 0.0	 257.92	 0.0	 257.92	 0.0
 54.00	 -0.00	 0.0	 250.75	 0.0	 250.75	 0.0
 56.00	 -0.00	 0.0	 243.43	 0.0	 243.43	 0.0
 58.00	 -0.00	 0.0	 235.96	 0.0	 235.96	 0.0
 60.00	 -0.00	 0.0	 228.32	 0.0	 228.32	 0.0
 62.00	 -0.00	 0.0	 220.50	 0.0	 220.50	 0.0
 64.00	 -0.00	 0.0	 212.48	 0.0	 212.48	 0.0
 66.00	 -0.00	 0.0	 204.26	 0.0	 204.26	 0.0
 68.00	 -0.00	 0.0	 195.82	 0.0	 195.82	 0.0
 70.00	 -0.00	 0.0	 187.15	 0.0	 187.15	 0.0
 72.00	 -0.00	 0.0	 178.24	 0.0	 178.24	 0.0
 74.00	 -0.00	 0.0	 169.08	 0.0	 169.08	 0.0
 76.00	 -0.00	 0.0	 159.65	 0.0	 159.65	 0.0
 78.00	 -0.00	 0.0	 149.93	 0.0	 149.93	 0.0
 80.00	 -0.00	 0.0	 139.92	 0.0	 139.92	 0.0
 82.00	 -0.00	 0.0	 129.59	 0.0	 129.59	 0.0
 84.00	 -0.00	 0.0	 118.95	 0.0	 118.95	 0.0
 86.00	 -0.00	 0.0	 107.96	 0.0	 107.96	 0.0
 88.00	 -0.00	 0.0	 96.63	 0.0	 96.63	 0.0
 90.00	 -0.00	 0.0	 84.92	 0.0	 84.92	 0.0
 92.00	 -0.00	 0.0	 72.84	 0.0	 72.84	 0.0
 94.00	 -0.00	 0.0	 60.35	 0.0	 60.35	 0.0
 96.00	 -0.00	 0.0	 47.46	 0.0	 47.46	 0.0
