#Time: 0.00Ma	 	#Time: 0.00Ma	#Time: 0.00Ma	#Time: 5.00Ma	#Time: 10.00Ma	#Time: 15.00Ma	#Time: 20.00Ma	#Time: 25.00Ma	#Time: 30.00Ma
> x(Km)	-w(m)	h(m)	# -w(m)	h(m)	# -w(m)	h(m)	# -w(m)	h(m)	# -w(m)	h(m)	# -w(m)	h(m)	# -w(m)	h(m)	# -w(m)	h(m)	# -w(m)	h(m)
 0.00	 -0.00	 0.0	 -0.00	 0.0	 -34.81	 -34.8	 -33.62	 -25.7	 -31.49	 -17.9	 -29.04	 -11.7	 -26.46	 -6.7	 -23.94	 -2.9	 -22.09	 -0.6
 2.00	 -0.00	 0.0	 -0.00	 0.0	 -32.63	 -32.6	 -31.10	 -23.7	 -28.94	 -16.4	 -26.49	 -10.5	 -23.92	 -5.8	 -21.42	 -2.2	 -19.58	 -0.0
 4.00	 -0.00	 0.0	 -0.00	 0.0	 -30.45	 -30.4	 -28.59	 -21.7	 -26.40	 -14.8	 -23.94	 -9.2	 -21.37	 -4.8	 -18.89	 -1.5	 -17.08	 0.5
 6.00	 -0.00	 0.0	 -0.00	 0.0	 -28.27	 -28.3	 -26.07	 -19.8	 -23.85	 -13.3	 -21.39	 -8.0	 -18.83	 -3.9	 -16.37	 -0.8	 -14.57	 1.0
 8.00	 -0.00	 0.0	 -0.00	 0.0	 -26.09	 -26.1	 -23.56	 -17.8	 -21.31	 -11.7	 -18.84	 -6.8	 -16.29	 -3.0	 -13.85	 -0.1	 -12.06	 1.7
 10.00	 -0.00	 0.0	 -0.00	 0.0	 -23.91	 -23.9	 -21.04	 -15.8	 -18.77	 -10.2	 -16.28	 -5.6	 -13.74	 -2.1	 -11.32	 0.6	 -9.56	 2.4
 12.00	 -0.00	 0.0	 -0.00	 0.0	 -21.73	 -21.7	 -18.52	 -13.9	 -16.22	 -8.7	 -13.73	 -4.4	 -11.20	 -1.1	 -8.80	 1.3	 -7.05	 3.1
 14.00	 -0.00	 0.0	 -0.00	 0.0	 -19.54	 -19.5	 -16.00	 -11.9	 -13.67	 -7.1	 -11.18	 -3.2	 -8.66	 -0.2	 -6.27	 2.2	 -4.55	 3.9
 16.00	 -0.00	 0.0	 -0.00	 0.0	 -17.35	 -17.4	 -13.48	 -10.0	 -11.13	 -5.6	 -8.62	 -2.0	 -6.11	 0.7	 -3.75	 3.1	 -2.04	 4.8
 18.00	 -0.00	 0.0	 -0.00	 0.0	 -15.16	 -15.2	 -10.96	 -8.0	 -8.58	 -4.0	 -6.07	 -0.8	 -3.57	 1.7	 -1.22	 4.1	 0.47	 5.8
